new entry "IE_Interrupt_Chromatic"
type "InterruptData"
data "DisplayName" "h098ed7eaf17c40bdaac5b48964dbe5a2cg0d"
data "Description" "h3dd8354d87cf4bcab0108b1c58e669f2bea7"
data "DescriptionParams" "1"
data "Icon" "Spell_Transmutation_ElementalWeapon"
data "InterruptContext" "OnCastHit"
data "InterruptContextScope" "Self"
data "Container" "YesNoDecision"
data "Conditions" "Self(context.Source,context.Observer) and (IsCriticalMiss() or IsMiss()) and IsMeleeWeaponAttack() and IsProficientWithEquippedWeapon() and not AnyEntityIsItem()"
data "Properties" "DealDamage(1, Acid);DealDamage(1, Cold);DealDamage(1, Poison);DealDamage(1, Fire);DealDamage(1, Lightning)"
data "Cost" "ReactionActionPoint:1"
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "not HasStatus('SG_Polymorph') or Tagged('MINDFLAYER') or HasStatus('SG_Disguise')"
data "EnableContext" "OnStatusApplied;OnStatusRemoved"
